x,y
23.026602842137613,30.68768990431865
24.861649925272673,23.625379067359276
22.63614779171104,29.45962906792762
23.388115990946247,29.780732813967564
24.603594726526932,30.171213197716206
25.540554150331076,22.29533699421939
16.604862954516005,23.59554613783444
17.305514458572492,28.83613194241517
17.91481668643882,28.40749757780592
18.025215398229992,26.187778973172534
15.669307114783726,26.848889562514323
24.3281984694094,28.961913695232216
17.15997589998057,26.889356932942064
28.942369816839612,19.873305578001663
20.238996235814838,28.302726974329957
15.783014009484438,26.725124783357394
25.00245378882742,20.85285604024473
23.160407082092842,23.859695396865426
25.68074958266344,22.44781232761129
24.879738518687883,21.7989714245114
18.502440637733557,25.62539418446929
16.019437665892482,28.837915387736597
22.024031128246612,22.1101122574144
22.987367606464247,30.648946885455093
16.761025602151328,26.23910124532603
15.05719377968322,28.551562880728014
18.691541481571342,26.954402146853365
24.28710205288867,21.698655303431824
16.305760323523725,27.21484670051002
22.396464161163095,31.513887634270908
17.85993312245657,26.611263173720193
22.22870231798683,23.78555356546569
27.59439791365777,24.987138669744834
17.71186127221468,25.31992385155006
24.636104282861996,21.097132497488616
15.16107091389178,26.491128021633926
19.305990360666044,27.62271103954782
16.10587641026626,29.562280800256943
16.73782367840966,24.334648647285906
18.00747380347248,28.217289000031297
22.587171380209252,19.883967534554845
15.492264004962056,24.58494634043655
18.883701731111206,26.3054377267608
23.321617442262404,26.880140200149796
16.075207225003346,26.730284773277383
18.149179950521766,24.609130499148517
25.964237508256247,18.163620991017456
21.97144685573283,30.77968069401533
20.403713234829613,29.444061304904803
25.00912106198227,28.26563363438253
25.913750715593824,21.401672568557625
22.518121318279302,28.50014980966728
20.856607346413394,26.819805369973665
22.6988817882967,30.34682088236043
21.96597060904387,27.750146970806924
21.294601602770786,25.015903629429985
21.004543090906008,30.757364365207092
23.443236676528656,22.022440146962744
23.856843242832383,27.796849645187418
23.75496079947921,26.63351826116728
18.317221436637926,25.433482553240495
21.07075872852821,28.68867052455883
24.47361790780032,24.746304379550274
24.239424157505066,27.615542803513254
21.831791848453225,27.018961888915047
20.340949934189805,29.64387363679428
23.822034837336325,28.590308473600242
23.784190998819607,21.82586836052356
25.069757316447188,29.054455148732163
20.954631875599564,32.13240495108046
22.268534192369565,21.89309937620389
14.36847853025915,23.765833388227712
22.300295463958605,21.108247066505598
21.416837514360473,30.345709246368934
23.128589300177467,22.48334150868824
26.081164058256437,21.178799594120903
18.314236683408293,23.99107937370188
18.876759916778017,29.81814449168077
18.51074592482205,26.25063543025783
24.21430346815516,21.713442090905072
23.892777951930707,22.642115339573838
24.816509887088753,28.050017164119527
25.644372354279565,23.418329117985042
17.757546908707173,24.893872897084016
22.566698958707946,28.958578936718773
21.690963994421793,30.801815911904225
16.87124547109714,25.594486212227068
24.601317814511933,22.311701034929946
26.018082494911283,21.588548409642165
14.736136377862444,23.85715997173732
18.720834844510733,23.58701102086996
25.024376164326803,23.710965869130916
24.422047220490107,22.15612641169847
17.34859341889584,27.56345259262216
14.858653969183038,24.6143311281602
28.117651550356,22.723247757759715
23.002628221932177,24.334369814917245
22.406839186044717,30.43258615680081
